train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard,train_acc,val_acc,train_sen,val_sen,train_spf,val_spf
0.11198436796887597,0.14601717966006084,0.91006577,0.87980443,0.8371889,0.7898488,0.9964265507054368,0.9952730665019915,0.911304,0.86683464,0.9981492295194028,0.9979487762731665
0.11139026184135409,0.14585980860625997,0.91054845,0.87991345,0.8379758,0.7900264,0.99644478122591,0.9952771710414512,0.91176933,0.86703074,0.998158280529193,0.9979475929456598
0.11079834168081854,0.14573256255072706,0.9110342,0.88006985,0.8387678,0.79026896,0.9964630149094819,0.9952821217331234,0.912229,0.86729074,0.9981677713085763,0.9979473825763253
0.11021578480577587,0.14560960014076793,0.91149354,0.8801715,0.83951896,0.7904336,0.9964808887905544,0.995286001878626,0.9126689,0.8675261,0.998177128644725,0.99794701442999
0.1096356935539649,0.1454804064158131,0.9119682,0.8802971,0.84029686,0.7906305,0.9964990576305991,0.9952898913738776,0.9131318,0.8677569,0.9981864785673606,0.9979466234936434
0.10906538024396445,0.14539527016527512,0.9124156,0.88041306,0.8410312,0.79081446,0.9965167108855238,0.9952936686721503,0.91354954,0.8680197,0.9981961170239235,0.9979452858952915
0.10849373774667878,0.14527198957169757,0.9128681,0.8805488,0.8417733,0.7910272,0.9965343625588994,0.9952975301181567,0.9139939,0.8682934,0.9982052421688441,0.9979433206950917
0.10793707488262239,0.14529618029208743,0.9133081,0.8804971,0.84249437,0.7909686,0.9965515547921607,0.995297913457833,0.91441965,0.8683812,0.9982147044803372,0.9979429350179785
0.10736577787357776,0.14512202373760588,0.9137474,0.88066274,0.84321713,0.791218,0.9965695551971891,0.9953001153235341,0.9148313,0.8685953,0.998224097697889,0.9979391781722798
0.10683798070867263,0.1454048065797371,0.9141668,0.8804014,0.84390783,0.7908629,0.9965856838384474,0.9952985632653331,0.9152974,0.8686633,0.998232567191717,0.9979405648568097
0.10628264490051649,0.14476608539767125,0.91457963,0.88102823,0.8445878,0.79175425,0.9966042014101448,0.9953071042603138,0.91562724,0.8691937,0.998242653424467,0.9979321272934184
0.10590501663400166,0.14580145423464916,0.9148754,0.88004285,0.84507865,0.7903944,0.9966146878737516,0.9952971093794879,0.91614324,0.86915934,0.9982464085170879,0.9979316013700822
0.10535140102034185,0.1444139964878559,0.9153008,0.8813627,0.8457894,0.7922261,0.996636299746942,0.9953116949866799,0.9163446,0.8701062,0.9982604621654719,0.9979263614205753
0.10477056408032256,0.1453111450023511,0.9157943,0.88054895,0.846591,0.7911155,0.9966500971843157,0.995302864149505,0.9171598,0.86995333,0.9982621239785531,0.9979219226276174
0.1041731896129117,0.144693607245298,0.9162787,0.881161,0.84738964,0.79197484,0.9966711199303369,0.995308277653713,0.9173146,0.86977816,0.9982777931796971,0.9979319256894729
0.10372438700638008,0.14527384290362105,0.9166331,0.8806259,0.84797466,0.7912436,0.9966823821439473,0.9953052717096665,0.91802645,0.8705288,0.9982767793076548,0.9979181710411521
0.10319351694032328,0.14437474704840603,0.917038,0.88150644,0.84864557,0.79244846,0.9967014137192152,0.9953111994500254,0.91805273,0.87053216,0.9982942814257607,0.997926215915119
0.10276614088768983,0.14496477112612305,0.9173894,0.8809023,0.8492257,0.7916144,0.9967116582057568,0.9953081046833712,0.91897386,0.87162524,0.9982869820808297,0.9979046670829549
0.10223031802038055,0.1441707423723796,0.9178042,0.881799,0.8499082,0.79286236,0.9967310179525347,0.9953135368870756,0.9187835,0.87151194,0.9983109561958123,0.9979151960681466
